con_storm_start,con_event_discharge,con_suspended_sediment_load_pounds,con_chloride_load_pounds,con_no2_no3_load_pounds,con_ammonium_n_load_pounds,con_tkn_load_pounds,con_orthophosphate_load_pounds,con_total_phosphorus_unfiltered_load_pounds,con_total_nitrogen_computed_load_pounds,con_organic_nitrogen_computed_load_pounds,trt_storm_start,trt_event_discharge,trt_suspended_sediment_load_pounds,trt_chloride_load_pounds,trt_no2_no3_load_pounds,trt_ammonium_n_load_pounds,trt_tkn_load_pounds,trt_orthophosphate_load_pounds,trt_total_phosphorus_unfiltered_load_pounds,trt_total_nitrogen_computed_load_pounds,trt_organic_nitrogen_computed_load_pounds,PairID,Exclude,Period,Period_txt,Frozen,Frozen_txt,Estimate,Estimate_txt
1/10/2013 19:53,,37199.7,,,,,6.188,14.402,201.264,,1/10/2013 19:55,,159.38,,,,,0.567,0.908,44.5635756,,1,,0,calibration,1,frozen,0,
1/29/2013 2:49,,1021.46,,,,,2.782,4.233,20.675,,1/29/2013 0:00,,122.4,,,,,0.67,0.907,8.187480953,,2,,0,calibration,1,frozen,0,
2/10/2013 13:26,,29.24,,,,,0.255,0.37,2.32,,2/10/2013 18:00,,0.52,,,,,0.1,0.128,1.266075886,,3,,0,calibration,1,frozen,0,
3/26/2013 11:45,,226.49,,,,,0.218,0.499,1.714,,3/26/2013 12:15,,0.05,,,,,0.01,0.012,0.121080022,,4,,0,calibration,1,frozen,1,estimate
3/27/2013 8:00,,2241.08,,,,,2.157,4.935,16.963,,3/27/2013 10:00,,92.91,,,,,0.357,0.58,5.158306692,,5,,0,calibration,1,frozen,0,
3/28/2013 7:43,,225066.16,,,,,2.166,121.026,188.196,,3/28/2013 9:29,,1442.5,,,,,0.951,2.311,14.30121841,,6,,0,calibration,1,frozen,0,
3/30/2013 11:02,,1082.82,,,,,4.306,5.825,21.656,,3/30/2013 9:28,,3131.15,,,,,0.99,4.354,23.33875685,,7,,0,calibration,1,frozen,0,
3/31/2013 23:10,,288.1,,,,,2.583,3.115,12.16,,4/1/2013 0:26,,297.85,,,,,0.635,1.085,8.350249656,,8,,0,calibration,1,frozen,1,estimate
4/6/2013 10:15,,10.62,,,,,0.276,0.33,2.043,,4/6/2013 9:12,,48.31,,,,,0.193,0.371,1.522184298,,9,,0,calibration,1,frozen,0,
4/7/2013 6:00,,6.38,,,,,0.166,0.198,1.227,,4/7/2013 8:12,,36.02,,,,,0.077,0.131,1.009773298,,10,,0,calibration,1,frozen,1,estimate
4/8/2013 9:26,,110.68,,,,,0.656,0.902,7.297,,4/8/2013 9:12,,73.57,,,,,0.142,0.314,2.281091958,,11,,0,calibration,1,frozen,0,
4/9/2013 9:38,,3928.84,,,,,2.848,9.191,59.116,,4/9/2013 9:41,,1596.17,,,,,0.378,3.051,19.82253863,,12,,0,calibration,1,frozen,0,
4/9/2013 22:22,,4744.41,,,,,8.798,16.888,153.958,,4/9/2013 23:56,,1622.74,,,,,1.172,2.92,54.02176571,,13,,0,calibration,1,frozen,0,
4/17/2013 13:30,,175.43,,,,,1.536,2.008,18.752,,4/17/2013 13:15,,104.19,,,,,0.223,0.411,6.867806876,,14,,0,calibration,0,not frozen,0,
4/30/2013 4:45,,1.25,,,,,0.011,0.014,0.134,,4/30/2013 5:16,,0.76,,,,,0.002,0.003,0.050129977,,15,,0,calibration,0,not frozen,1,estimate
7/8/2013 5:42,,23546.07,,,,,2.394,23.15,81.62,,7/8/2013 6:19,,1396.67,,,,,0.215,1.381,21.13646831,,16,,0,calibration,0,not frozen,0,
10/5/2013 13:10,,1.45,,,,,0.006,0.009,0.062,,10/5/2013 17:45,,4.21,,,,,0.005,0.013,0.039342377,,17,,0,calibration,0,not frozen,1,estimate
10/31/2013 22:15,,12.37,,,,,0.055,0.077,0.528,,10/31/2013 23:07,,16.85,,,,,0.019,0.054,0.157369509,,18,,0,calibration,0,not frozen,0,
11/5/2013 16:13,,59.97,,,,,0.236,0.378,3.341,,11/5/2013 19:43,,24.92,,,,,0.037,0.089,0.380413926,,19,,0,calibration,0,not frozen,0,
11/9/2013 0:32,,31.65,,,,,0.021,0.073,0.273,,11/9/2013 1:39,,1.97,,,,,0.003,0.007,0.030032678,,20,,0,calibration,0,not frozen,1,estimate
11/17/2013 7:45,,175.81,,,,,0.293,0.663,5.462,,11/17/2013 10:02,,35.73,,,,,0.031,0.259,1.660912834,,21,,0,calibration,0,not frozen,0,
3/18/2014 14:45,,445.92,,,,,0.765,1.459,9.07,,3/18/2014 10:45,,9.69,,,,,1.146,1.414,5.98630893,,22,,0,calibration,1,frozen,1,estimate
3/27/2014 14:30,,2168.74,,,,,0.545,3.969,17.276,,3/27/2014 11:15,,127.69,,,,,0.438,0.775,3.90969593,,23,,0,calibration,1,frozen,0,
3/28/2014 8:00,,349.31,,,,,0.264,0.834,5.561,,3/28/2014 7:49,,227.14,,,,,1.568,2.205,10.26418565,,24,,0,calibration,1,frozen,1,estimate
4/12/2014 13:12,,1050.77,,,,,0.204,1.932,8.756,,4/12/2014 12:46,,351.63,,,,,0.108,0.616,4.170917664,,25,,0,calibration,0,not frozen,0,
41742.08056,,2134.94,,,,,0.479,3.808,22.424,,41742.07222,,311.03,,,,,0.256,0.708,9.04432384,,26,,0,calibration,0,not frozen,0,
41742.71875,,14189.74,,,,,1.63,22.09,82.897,,41742.76736,,2183.14,,,,,1.399,3.759,29.72161795,,27,,0,calibration,0,not frozen,0,
41743.32361,,287.76,,,,,0.363,0.989,9.738,,41743.27986,,141.29,,,,,0.392,0.598,7.7751627,,28,,0,calibration,0,not frozen,1,estimate
41758.11458,,128.22,,,,,0.231,0.467,6.229,,41758.11528,,32.63,,,,,0.09,0.138,1.795811772,,29,,0,calibration,0,not frozen,1,estimate
41771.20486,,6742.85,,,,,0.775,10.497,39.392,,41771.22569,,720.88,,,,,0.403,1.356,11.57919409,,30,,0,calibration,0,not frozen,0,
41778.74028,,1.81,,,,,0.019,0.024,0.54,,41778.91458,,10.39,,,,,0.029,0.044,0.571850676,,31,,0,calibration,0,not frozen,1,estimate
41791.67847,,0.38,,,,,0.004,0.005,0.113,,41791.79097,,2.19,,,,,0.006,0.009,0.120389616,,32,,0,calibration,0,not frozen,1,estimate
41791.75,,19213.64,,,,,0.804,26.411,78.465,,41791.86597,,133.38,,,,,0.016,0.173,1.066030632,,33,,0,calibration,0,not frozen,0,
41791.86528,,4637.37,,,,,0.443,6.922,29.508,,41791.91597,,7506.66,,,,,0.278,8.268,33.02035816,,34,,0,calibration,0,not frozen,1,estimate
41792.13611,,8589.49,,,,,0.821,12.821,54.656,,41792.13403,,6426.97,,,,,0.423,6.076,26.98264631,,35,,0,calibration,0,not frozen,1,estimate
41792.43403,,94726.42,,,,,3.963,130.212,386.845,,41792.43889,,34012.77,,,,,1.05,23.67,79.20180407,,36,,0,calibration,0,not frozen,0,
41808.09792,,12611.74,,,,,1.206,18.825,80.251,,41808.21944,,1238.74,,,,,0.274,0.848,10.95157152,,37,,0,calibration,0,not frozen,1,estimate
41810.01389,,3219.07,,,,,0.308,4.805,20.483,,41810.17708,,23.78,,,,,0.039,0.092,6.040451894,,38,,0,calibration,0,not frozen,1,estimate
41813.19028,,76.49,,,,,0.007,0.114,0.487,,41813.19097,,1.62,,,,,0.003,0.006,0.411848993,,39,,0,calibration,0,not frozen,1,estimate
41869.73542,,9.95,,,,,0.001,0.011,0.035,,41869.75069,,0.72,,,,,0.001,0.003,0.183043997,,40,,0,calibration,0,not frozen,1,estimate
41870.11458,,2.95,,,,,0.001,0.005,0.016,,41870.10278,,1.17,,,,,0.002,0.005,0.297446495,,41,,0,calibration,0,not frozen,1,estimate
41886.90486,,0.79,,,,,0.002,0.004,0.013,,41886.83958,,48.81,,,,,0.007,0.076,0.28398357,,42,,0,calibration,0,not frozen,1,estimate
41887.21875,,2255.55,,,,,0.548,3.749,11.018,,41887.23194,,792.89,,,,,0.238,1.184,6.258641892,,43,,0,calibration,0,not frozen,0,
41894.79514,,7.07,,,,,0.019,0.036,0.116,,41894.82292,,35.79,,,,,0.005,0.056,0.208254618,,44,,0,calibration,0,not frozen,1,estimate
41902.13889,,102.24,,,,,0.138,0.348,0.144,,41902.14306,,95.98,,,,,0.04,0.167,0.739112414,,45,,0,calibration,0,not frozen,0,
41915.22014,,39.8,,,,,0.117,0.252,0.603,,41915.125,,147.28,,,,,0.168,0.451,2.07877052,,46,,0,calibration,0,not frozen,0,
41925.77153,,5198.35,,,,,2.977,14.369,32.412,,41925.80486,,595.72,,,,,0.37,1.311,8.77679136,,47,,0,calibration,0,not frozen,0,
41993.23958,,82.72,,,,,0.042,0.191,0.622,,41993.26042,,1.64,,,,,0.015,0.062,0.290500899,,48,,0,calibration,1,frozen,1,estimate
41995.48958,,2847.6,,,,,1.458,6.592,21.408,,41995.51042,,748.89,,,,,0.909,3.635,17.08145283,,49,,0,calibration,1,frozen,1,estimate
41998.5,,72.32,,,,,0.037,0.167,0.544,,41998.5,,18.59,,,,,0.023,0.09,0.424131312,,50,,0,calibration,1,frozen,1,estimate
41999.45833,,933.83,,,,,0.478,2.162,7.02,,41999.45833,,278.92,,,,,0.363,1.451,6.685521367,,51,,0,calibration,1,frozen,1,estimate
42071.58333,,821.52,,,,,1.63,3.281,14.392,,42071.61458,,610.74,,,,,1.083,4.334,19.70922651,,52,,0,calibration,1,frozen,1,estimate
42074.4375,,21.36,,,,,0.031,0.072,0.376,,42074.4375,,6.06,,,,,0.046,0.184,0.815840686,,53,,0,calibration,1,frozen,1,estimate
42103.125,,305.46,,,,,0.031,0.557,1.722,,42103.20417,,0.59,,,,,0.002,0.004,0.063846411,,54,,0,calibration,0,not frozen,1,estimate
42103.57292,,1579.33,,,,,0.181,2.992,9.287,,42103.59792,,45.84,,,,,0.004,0.06,0.5285924,,55,,0,calibration,0,not frozen,0,
42103.79236,,3335.98,,,,,0.477,5.922,18.499,,42103.80208,,76.26,,,,,0.009,0.094,1.029244916,,56,,0,calibration,0,not frozen,0,
42141.69861,,2977.73,,,,,0.189,4.304,15.036,,42141.70417,,677.25,,,,,0.067,0.764,2.275859972,,57,,1,treatment,0,not frozen,0,
42148.79722,,2353.9,,,,,0.347,3.142,24.549,,42148.78125,,614.5,,,,,0.102,0.74,3.726252792,,58,,1,treatment,0,not frozen,0,
42255.43889,,1.25,,,,,0.001,0.003,0.006,,42255.37083,,16.88,,,,,0.02,0.04,0.077320123,,59,,1,treatment,0,not frozen,1,estimate
42266.02431,,182.51,,,,,0.498,0.923,0.768,,42266.03958,,14.13,,,,,0.047,0.071,0.167391189,,60,,1,treatment,0,not frozen,0,
42334.60417,,215.2,,,,,3.13,4.304,53.995,,42334.62917,,17.37,,,,,0.482,0.546,6.1,,61,,1,treatment,0,not frozen,0,
42338.95833,,439.66,,,,,2.676,3.823,41.232,,42338.97083,,11.88,,,,,0.177,0.226,6.64,,62,,1,treatment,0,not frozen,0,
42351.19444,,1672.5,,,,,2.207,6.452,36.506,,42351.20208,,1079.3,,,,,0.304,2.015,14.3,,63,,1,treatment,0,not frozen,0,
42351.54514,,12901.88,,,,,16.606,45.987,232.617,,42351.65972,,4610.02,,,,,1.959,8.743,68.83,,64,,1,treatment,0,not frozen,0,
42354.23889,,140.97,,,,,0.881,1.282,10.549,,42354.22708,,39.29,,,,,0.102,0.165,3.5,,65,,1,treatment,0,not frozen,0,
42361.23958,,538.98,,,,,2.061,3.17,25.364,,42361.45833,,114.02,,,,,0.166,0.364,5.9,,66,,1,treatment,0,not frozen,0,
42420.38819,,316.12,,,,,3.099,4.79,13.746,,42420.44792,,1.17,,,,,0.059,0.073,0.45,,67,,1,treatment,1,frozen,0,
42421.45278,,10.22,,,,,0.585,0.722,2.345,,42421.47917,,0.41,,,,,0.029,0.037,0.27,,68,,1,treatment,1,frozen,0,
42428.34375,,109.55,,,,,0.683,0.956,4.852,,42429.7875,,6.21,,,,,0.382,0.418,3.58,,69,,1,treatment,1,frozen,0,
42435.60417,,29.9,,,,,0.229,0.313,1.541,,42435.74583,,0.79,,,,,0.008,0.01,0.08,,70,,1,treatment,1,frozen,0,
42435.86597,,49.36,,,,,0.635,0.733,3.03,,42435.83333,,3.44,,,,,0.029,0.039,0.35,,71,,1,treatment,1,frozen,0,
42436.2375,,581.58,,,,,1.214,2.219,13.407,,42436.14583,,336.25,,,,,0.312,0.709,6.01,,72,,1,treatment,1,frozen,0,
42437.24028,,150.1,,,,,0.963,1.267,12.866,,42437.22153,,248.53,,,,,0.293,0.616,8.8,,73,,1,treatment,0,not frozen,1,estimate
42438.09861,,620.2,,,,,2.198,3.454,27.289,,42438.09306,,32.45,,,,,0.275,0.362,7.3,,74,,1,treatment,0,not frozen,1,estimate
42442.72917,,124.44,,,,,1.679,2.173,14.301,,42442.72917,,11.83,,,,,0.132,0.17,3.18,,75,,1,treatment,0,not frozen,0,
42444.69792,,19720.07,,,,,6.423,44.964,117.55,,42444.67292,,22079.2,,,,,0.813,23.353,71.33,,76,,1,treatment,0,not frozen,0,
42455.52083,,661.1,,,,,1.318,1.414,15.175,,42455.46875,,76.41,,,,,0.138,0.312,2.38,,77,,1,treatment,0,not frozen,0,
42456.28333,,230.1,,,,,1.406,1.534,15.787,,42456.26319,,325.13,,,,,0.25,0.84,6.3,,78,,1,treatment,0,not frozen,0,
42460.01181,,6299.38,,,,,2.444,12.056,38.429,,42460.00833,,2388.09,,,,,0.312,2.81,10.56,,79,,1,treatment,0,not frozen,0,
42460.49167,,1586.83,,,,,1.418,3.92,16.738,,42460.525,,643.27,,,,,0.239,0.981,5.01,,80,,1,treatment,0,not frozen,0,
